vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month
1,1/1/2022 0:28:20,1/1/2022 0:56:30,2,9.6,1.0,N,1,31.5,3,0.5,8.8,0,0.3,0,44.1,68,243,2022,1
2,1/1/2022 0:59:08,1/1/2022 1:22:01,5,6.69,1.0,N,1,21.5,0.5,0.5,5.06,0,0.3,0,30.36,79,151,2022,1
2,1/1/2022 0:13:02,1/1/2022 0:41:11,2,5.89,1.0,N,1,23,0.5,0.5,5.36,0,0.3,0,32.16,114,238,2022,1
2,1/1/2022 0:52:23,1/1/2022 1:10:22,1,6.41,1.0,Y,1,20.5,0.5,0.5,4.86,0,0.3,0,29.16,170,65,2022,1
2,1/1/2022 0:15:21,1/1/2022 0:36:15,1,6.7,1.0,N,1,21,0.5,0.5,4.96,0,0.3,0,29.76,148,74,2022,1
2,1/1/2022 0:04:10,1/1/2022 0:20:29,1,7.82,1.0,N,1,23.5,0.5,0.5,7.44,0,0.3,1.25,33.49,138,255,2022,1
2,1/1/2022 0:26:00,1/1/2022 0:45:36,2,10.01,1.0,N,1,28.5,0.5,0.5,5.96,0,0.3,1.25,37.01,132,39,2022,1
2,1/1/2022 0:41:14,1/1/2022 1:03:10,2,6.64,1.0,N,1,23,0.5,0.5,5.36,0,0.3,0,32.16,236,125,2022,1
2,1/1/2022 0:35:56,1/1/2022 0:36:12,1,0,5.0,N,1,240,0,0,40,0,0.3,0,282.8,79,79,2022,1
1,1/1/2022 0:28:54,1/1/2022 0:42:55,2,7,1.0,N,1,21,3,0.5,4.95,0,0.3,0,29.75,79,263,2022,1
2,1/1/2022 0:42:28,1/1/2022 1:09:08,4,15.54,1.0,N,1,43,0.5,0.5,8,0,0.3,1.25,53.55,132,145,2022,1
1,1/1/2022 0:41:58,1/1/2022 1:11:56,2,7,1.0,N,1,25,3,0.5,5.75,0,0.3,0,34.55,114,41,2022,1
2,1/1/2022 0:34:34,1/1/2022 1:00:44,2,7,1.0,N,1,23.5,0.5,0.5,6.83,0,0.3,0,34.13,229,80,2022,1
2,1/1/2022 0:26:34,1/1/2022 0:45:20,1,5.89,1.0,N,1,20,0.5,0.5,7.14,0,0.3,0,30.94,234,33,2022,1
2,1/1/2022 0:25:38,1/1/2022 0:50:30,2,9.51,1.0,N,1,29.5,0.5,0.5,9.99,0,0.3,0,43.29,262,181,2022,1
2,1/1/2022 0:16:05,1/1/2022 0:46:25,3,3.88,1.0,N,1,20.5,0.5,0.5,4.86,0,0.3,0,29.16,79,48,2022,1
1,1/1/2022 0:19:23,1/1/2022 1:14:47,1,7.8,1.0,N,1,33,3,0.5,9.2,0,0.3,0,46,164,37,2022,1
1,1/1/2022 0:07:04,1/1/2022 0:36:59,2,7.1,1.0,N,1,23,3,0.5,5.35,0,0.3,0,32.15,113,7,2022,1
2,1/1/2022 0:40:01,1/1/2022 1:07:21,1,4.3,1.0,N,1,19.5,0.5,0.5,5.82,0,0.3,0,29.12,148,50,2022,1
1,1/1/2022 0:12:07,1/1/2022 0:31:22,2,9.8,1.0,N,1,29,4.25,0.5,8.12,6.55,0.3,1.25,48.72,138,141,2022,1
1,1/1/2022 0:34:20,1/1/2022 0:35:24,1,0.3,1.0,N,1,3,3,0.5,1.35,0,0.3,0,8.15,141,229,2022,1
1,1/1/2022 0:13:55,1/1/2022 0:28:11,1,6.8,1.0,N,1,21,3,0.5,4.95,0,0.3,0,29.75,229,33,2022,1
2,1/1/2022 0:13:26,1/1/2022 0:42:00,4,3.61,1.0,N,1,19.5,0.5,0.5,4.66,0,0.3,0,27.96,142,68,2022,1
1,1/1/2022 0:37:57,1/1/2022 1:00:50,1,0,1.0,N,1,19.5,2.5,0.5,4.55,0,0.3,0,27.35,239,226,2022,1
2,1/1/2022 0:25:52,1/1/2022 0:27:12,1,0.26,1.0,N,1,3,0.5,0.5,2.04,0,0.3,0,8.84,79,148,2022,1
2,1/1/2022 0:29:57,1/1/2022 0:43:43,1,6.15,1.0,N,1,19.5,0.5,0.5,3.5,0,0.3,0,26.8,232,236,2022,1
